Delegacia;Nome Antigo;CNPJ;Código;Categoria
DELEGACIA DE POLÍCIA CIVIL DE ITAREMA;DELEGACIA MUNICIPAL DE ITAREMA;01.869.564/0001-28;24527622;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JIJOCA DE JERICOACOARA;DELEGACIA MUNICIPAL DE JIJOCA DE JERICOACOARA;01.869.564/0001-28;24528815;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MARCO;DELEGACIA MUNICIPAL DE MARCO;01.869.564/0001-28;25140236;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MASSAPĘ;DELEGACIA MUNICIPAL DE MASSAPĘ;01.869.564/0001-28;21939609;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MONSENHOR TABOSA;DELEGACIA MUNICIPAL DE MONSENHOR TABOSA;01.869.564/0001-28;21939546;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE NOVA RUSSAS;DELEGACIA MUNICIPAL DE NOVO ORIENTE;01.869.564/0001-28;21938054;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE NOVO ORIENTE;DELEGACIA MUNICIPAL DE NOVA RUSSAS;01.869.564/0001-28;22007868;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE OCARA;DELEGACIA MUNICIPAL DE OCARA;01.869.564/0001-28;24529020;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PACUJÁ;DELEGACIA MUNICIPAL DE PACUJÁ;01.869.564/0001-28;24528893;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PENTECOSTE;DELEGACIA MUNICIPAL DE PENTECOSTE;01.869.564/0001-28;24527982;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE REDENÇĂO;DELEGACIA MUNICIPAL DE REDENÇĂO;01.869.564/0001-28;24528669;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SANTA ?UITÉRIA;DELEGACIA MUNICIPAL DE SANTA ?UITÉRIA;01.869.564/0001-28;21939477;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SANTANA DO ACARAÚ;DELEGACIA MUNICIPAL DE SANTANA DO ACARAÚ;01.869.564/0001-28;24526816;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SĂO BENEDITO;DELEGACIA MUNICIPAL DE SĂO BENEDITO;01.869.564/0001-28;22007629;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TAMBORIL;DELEGACIA MUNICIPAL DE TAMBORIL;01.869.564/0001-28;21939055;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TIANGUÁ;DELEGACIA REGIONAL DE TIANGUÁ;01.869.564/0001-28;22007971;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE UBAJARA;DELEGACIA MUNICIPAL DE UBAJARA;01.869.564/0001-28;22007995;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE URUBURETAMA;DELEGACIA MUNICIPAL DE URUBURETAMA;01.869.564/0001-28;24527503;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE URUOCA;DELEGACIA MUNICIPAL DE URUOCA;01.869.564/0001-28;25155552;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE VARJOTA;DELEGACIA MUNICIPAL DE VARJOTA;01.869.564/0001-28;21939506;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE VIÇOSA DO CEARÁ;DELEGACIA MUNICIPAL DE VIÇOSA DO CEARÁ;01.869.564/0001-28;22009078;Delegacia
1Ş DELEGACIA DE POLÍCIA CIVIL DE JUAZEIRO DO NORTE;DELEGACIA REGIONAL DE JUAZEIRO DO NORTE;01.869.564/0001-28;20574795;Delegacia
2Ş DELEGACIA DE POLÍCIA CIVIL DE JUAZEIRO DO NORTE;;01.869.564/0001-28;;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ACOPIARA;DELEGACIA MUNICIPAL DE ACOPIARA;01.869.564/0001-28;21938377;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ALTO SANTO;DELEGACIA MUNICIPAL DE ALTO SANTO;01.869.564/0001-28;21134437;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ARACATI;DELEGACIA REGIONAL DE ARACATI;01.869.564/0001-28;20879736;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ARARIPE;DELEGACIA MUNICIPAL DE ARARIPE;01.869.564/0001-28;21939960;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ASSARÉ;DELEGACIA MUNICIPAL DE ASSARÉ;01.869.564/0001-28;22075138;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE AURORA;DELEGACIA MUNICIPAL DE AURORA;01.869.564/0001-28;21937772;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BANABUIÚ;DELEGACIA MUNICIPAL DE BANABUIÚ;01.869.564/0001-28;26517546;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BARBALHA;DELEGACIA MUNICIPAL DE BARBALHA;01.869.564/0001-28;20574719;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BARRO;;01.869.564/0001-28;;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BEBERIBE;DELEGACIA MUNICIPAL DE BEBERIBE;01.869.564/0001-28;20879653;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BREJO SANTO;DELEGACIA REGIONAL DE BREJO SANTO;01.869.564/0001-28;21794961;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CAMPOS SALES;DELEGACIA MUNICIPAL DE CAMPOS SALES;01.869.564/0001-28;21937810;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CARIRIAÇU;DELEGACIA MUNICIPAL DE CARIRIAÇU;01.869.564/0001-28;21937561;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CEDRO;DELEGACIA MUNICIPAL DE CEDRO;01.869.564/0001-28;21150486;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CRATO;DELEGACIA REGIONAL DE CRATO;01.869.564/0001-28;20574812;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE FARIAS BRITO;DELEGACIA MUNICIPAL DE FARIAS BRITO;01.869.564/0001-28;21150583;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ICAPUÍ;DELEGACIA MUNICIPAL DE ICAPUÍ;01.869.564/0001-28;20879754;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ICÓ;DELEGACIA REGIONAL DE ICÓ;01.869.564/0001-28;21805367;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IGUATU;DELEGACIA REGIONAL DE IGUATU;01.869.564/0001-28;20342848;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IPAUMIRIM;DELEGACIA MUNICIPAL DE IPAUMIRIM;01.869.564/0001-28;21150507;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IRACEMA;DELEGACIA MUNICIPAL DE IRACEMA;01.869.564/0001-28;21138627;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JAGUARETAMA;DELEGACIA MUNICIPAL DE JAGUARETAMA;01.869.564/0001-28;20879790;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JAGUARIBE;DELEGACIA REGIONAL DE JAGUARIBE;01.869.564/0001-28;21139513;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JAGUARUANA;DELEGACIA MUNICIPAL DE JAGUARUANA;01.869.564/0001-28;21128229;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JARDIM;DELEGACIA MUNICIPAL DE JARDIM;01.869.564/0001-28;21937364;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JUCÁS;DELEGACIA MUNICIPAL DE JUCÁS;01.869.564/0001-28;21939003;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE LAVRAS DA MANGABEIRA;DELEGACIA MUNICIPAL DE LAVRAS DA MANGABEIRA;01.869.564/0001-28;21150557;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE LIMOEIRO DO NORTE;DELEGACIA MUNICIPAL DE LIMOEIRO DO NORTE;01.869.564/0001-28;20343111;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MAURITI;DELEGACIA MUNICIPAL DE MAURITI;01.869.564/0001-28;21795626;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MILAGRES;DELEGACIA MUNICIPAL DE MILAGRES;01.869.564/0001-28;21935404;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MISSĂO VELHA;DELEGACIA MUNICIPAL DE MISSĂO VELHA;01.869.564/0001-28;21937442;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MOMBAÇA;DELEGACIA MUNICIPAL DE MOMBAÇA;01.869.564/0001-28;21938963;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MORADA NOVA;DELEGACIA MUNICIPAL DE MORADA NOVA;01.869.564/0001-28;21143539;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE NOVA OLINDA;DELEGACIA MUNICIPAL DE NOVA OLINDA;01.869.564/0001-28;29160464;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ORÓS;DELEGACIA MUNICIPAL DE ORÓS;01.869.564/0001-28;21150470;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PARAMBU;DELEGACIA MUNICIPAL DE PARAMBU;01.869.564/0001-28;21940010;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PEDRA BRANCA;DELEGACIA MUNICIPAL DE PEDRA BRANCA;01.869.564/0001-28;22129693;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PENAFORTE;DELEGACIA MUNICIPAL DE PENAFORTE;01.869.564/0001-28;21939892;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ?UITERIANÓPOLIS;DELEGACIA MUNICIPAL DE ?UITERIANÓPOLIS;01.869.564/0001-28;21938115;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ?UIXADÁ;DELEGACIA REGIONAL DE ?UIXADÁ;01.869.564/0001-28;21939110;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ?UIXERAMOBIM;DELEGACIA MUNICIPAL DE ?UIXERAMOBIM;01.869.564/0001-28;22075163;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE RUSSAS;DELEGACIA REGIONAL DE RUSSAS;01.869.564/0001-28;20879817;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SABOEIRO;DELEGACIA MUNICIPAL DE SABOEIRO;01.869.564/0001-28;21937963;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SĂO JOĂO DO JAGUARIBE;DELEGACIA MUNICIPAL DE SĂO JOĂO DO JAGUARIBE;01.869.564/0001-28;21144233;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SENADOR POMPEU;DELEGACIA REGIONAL DE SENADOR POMPEU;01.869.564/0001-28;22075155;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SOLONÓPOLE;DELEGACIA MUNICIPAL DE SOLONÓPOLE;01.869.564/0001-28;21141660;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TABULEIRO DO NORTE;DELEGACIA MUNICIPAL DE TABULEIRO DO NORTE;01.869.564/0001-28;21131453;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TAUÁ;DELEGACIA REGIONAL DE TAUÁ;01.869.564/0001-28;21939298;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE VÁRZEA ALEGRE;DELEGACIA MUNICIPAL DE VÁRZEA ALEGRE;01.869.564/0001-28;21150573;Delegacia
1Ş Delegacia de Polícia Civil de Carnaubal;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Aiuaba;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Caridade;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Croatá;;01.869.564/0001-28;31194351;Delegacia
1Ş Delegacia de Polícia Civil de Fortim;;01.869.564/0001-28;32978206;Delegacia
1Ş Delegacia de Polícia Civil de Frecheirinha;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Ibiapina;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Palmacia;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Quixere;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Reriutaba;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Tejuçuoca;;01.869.564/0001-28;;Delegacia
1Ş Delegacia de Polícia Civil de Tururu;;01.869.564/0001-28;30110562;Delegacia
1Ş Delegacia de Polícia Civil de Umirim;;01.869.564/0001-28;30110566;Delegacia
3Ş Seccional do Interior Sul;;01.869.564/0001-28;;Delegacia
Delegacia Eletrônica;;01.869.564/0001-28;;Delegacia
Delegacia de Polícia Civil de Acidentes e Delitos de Transito;;01.869.564/0001-28;20176287;Delegacia
Inteligęncia - Delegacia de Polícia Civil de Tiangua;;01.869.564/0001-28;;Delegacia
Investigaçőes e Operaçőes - 4Ş Delegacia de Polícia Civil de Caucaia;;01.869.564/0001-28;;Delegacia
Investigaçőes e Operaçőes - 4Ş Delegacia de Polícia Civil de Maracanau;;01.869.564/0001-28;;Delegacia
Núcleo de Repressăo ŕ Lavagem de Dinheiro e Combate a Corrupçăo - NRLD/Cariri;;01.869.564/0001-28;25359625;Delegacia
Superintendencia Regional de Policia Federal no Estado Ceara SR/PF/CE;;01.869.564/0001-28;19032888;Delegacia
Central de Procedimentos Digitais - Polícia Civil ;;01.869.564/0001-28;29160460;Delegacia
Casa de Privaçăo Provisória de Liberdade Agente Penitenciário Elias Alves da Silva - CPPL IV;;07.954.530/0009-75;25201701;Unidade Prisional - SAP
Casa de Privaçăo Provisória de Liberdade Professor Clodoaldo Pinto - CPPL II;;07.954.530/0007-03;25201740;Unidade Prisional - SAP
Casa de Privaçăo Provisória de Liberdade Professor José Jucá Neto - CPPL III;;07.954.530/0008-94;25201695;Unidade Prisional - SAP
Casa do Albergado Fortaleza;;07.954.530/0021-61;25274362;Unidade Prisional - SAP
Ceará Leilőes;;05.540.535/0001-79;22143030;Leiloeiro
Central de Alternativas Penais - CAP;;07.954.530/0022-42;25274365;Unidade Administrativa - SAP
Central de Monitoramento;;07.954.530/0025-95;25274380;Unidade Administrativa - SAP
Centro de Detençăo Provisória - CDP;;07.954.530/0004-60;25201670;Unidade Prisional - SAP
Centro de Execuçăo Penal e Integraçăo Social Vasco Damasceno Weyne ż CEPIS;;07.954.530/0011-90;25201672;Unidade Prisional - SAP
Centro de Triagem e Observaçăo Criminológica - CTOC;;07.954.530/0003-80;25201706;Unidade Prisional - SAP
Companhia de Água e Esgoto do Ceará - Cagece;;07.040.108/0001-57;10526059;CAGECE
Companhia Energetica do Ceara - ENEL;;07.047.251/0001-70;10526804;ENEL
Coordenadoria de Gestăo de Pessoas COGEP/SAP_Administraçăo Penitenciária;;01.869.564/0012-80;27529803;Unidade Administrativa - SAP
Coordenadoria de Inclusăo Social do Preso e do Egresso - CISPE;;07.954.530/0024-04;25274375;Unidade Administrativa - SAP
Coordenadoria de Inteligęncia - COINT/SAP;;07.954.530/0038-00;25947579;Unidade Administrativa - SAP
Coordenadoria de Operaçőes Especiais da Polícia Civil do Estado do Ceará;;01.869.564/0301-16;27348211;SSPDS
Coordenadoria Especial do Sistema Prisional COESP;;07.954.530/0020-80;25274350;Unidade Administrativa - SAP
Corpo de Bombeiro Militar do Estado do Ceará;;35.025.022/0001-90;25609465;Bombeiros
Defensoria Pública - Vara Subsequente;;08.036.157/0001-89;15190037;Defensoria Pública
DEFENSORIA PÚBLICA GERAL DO ESTADO DO CEARÁ;;02.014.521/0001-23;7977434;Defensoria Pública
Departamento de Homicídios e Proteçăo a Pessoa - DHPP;;01.869.564/0001-28;20174917;SSPDS
Departamento de Recursos Humanos - Polícia Civil;;01.869.564/0001-28;20145759;SSPDS
Departamento de Tecnologia da Informaçăo e Comunicaçăo - DETIC (Polícia Civil);;01.869.564/0001-28;23831657;SSPDS
Departamento de Inteligencia Policial;;01.869.564/0001-28;20176337;SSPDS
Departamento Estadual de Trânsito - Ce;;01.869.564/0001-28;617154;DETRAN
Gabinete do Delegado Geral;;01.869.564/0001-28;20145422;SSPDS
Hasta Pública (Silvio César Maraschi);;01.869.564/0001-28;22143064;Leiloeiro
Hospital e Sanatório Penal Professor Otávio Lobo - HSPOL;;01.869.564/0001-28;25201747;Unidade Prisional - SAP
Instituto Penal Feminino Desembargadora Auri Moura Costa - IPF;;01.869.564/0001-28;25201712;Unidade Prisional - SAP
Instituto Presídio Professor Olavo Oliveira - IPPOO II;;01.869.564/0001-28;25201717;Unidade Prisional - SAP
Instituto Psiquiatrico Governador Stenio Gomes - IPGSG;;01.869.564/0001-28;25201754;Unidade Prisional - SAP
Ministério Público do Estado do Ceará - MPCE;;06.928.790/0001-56;25195;Ministério Público
Montenegro Leilőes;;01.869.564/0001-28;22143050;Leiloeiro
Núcleo de Gestăo e Recuperaçăo de Ativos - DEREC/NGRA;;01.869.564/0001-28;30347007;SSPDS
Penitenciária Francisco Hélio Viana de Araújo - PFHVA;;01.869.564/0001-28;25201727;Unidade Prisional - SAP
Penitenciária Industrial Regional de Sobral - PIRS;;01.869.564/0001-28;25201764;Unidade Prisional - SAP
Penitenciária Industrial Regional do Cariri - PIRC;;01.869.564/0001-28;25201757;Unidade Prisional - SAP
Perícia Forense do Estado do Ceará - PEFOCE;;10.263.825/0001-52;25947819;PEFOCE
SECRETARIA DA SEGURANÇA PÚBLICA E DEFESA SOCIAL DO ESTADO DO CEARÁ-SSPDS;;01.869.566/0001-17;27184006;SSPDS
Superintendęncia Estadual de Atendimento Socioeducativo - SEAS;;25.150.364/0001-89;20230759;SEAS
Superintendęncia Regional de Polícia Federal no Estado Ceará SR/PF/CE;;00.394.494/0023-41;19032888;Polícia Federal
Unidade Prisional Agente Penitenciário Luciano Andrade Lima;;07.954.530/0042-96;25201736;Unidade Prisional - SAP
Unidade Prisional Desembargador Francisco Adalberto de Oliveira Barros Leal - UP Caucaia;;07.954.530/0010-09;25201722;Unidade Prisional - SAP
Unidade Prisional Irmă Imelda Lima Pontes - UP Irmă Imelda;;07.954.530/0015-13;25201743;Unidade Prisional - SAP
Unidade Prisional Professor José Sobreira de Amorim - UP PJSA;;07.954.530/0005-41;25201733;Unidade Prisional - SAP
Willian Leilőes;;05.540.535/0004-11;22143080;Leiloeiro
Procuradoria Geral do Estado - PGE;;06.622.070/0001-68;10526873;PGE
